,compound name,smile formula,EI99,Recipe,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
20,acetone cyanohydrin,CC(C)(O)C#N,0.007232666,0.070007689,-1.916669408,0.684327884,-0.621847381,1.159525245,-0.713646375,-1.331550337,-1.984456804,1.331256026,-2.599504626,-1.370594395,4.567958799,0.674527699,2.427630747,3.126337886,-1.89102876,-0.161462329,0.195468527,1.146128605,-0.003568459,-0.362864824,-0.228852778,-1.473193964,-0.135854896,0.927965876,0.027183562,1.22398241,0.093949264,-0.439131366
14,4-tert-butyltoluene,Cc1ccc(cc1)C(C)(C)C,0.007230874,0.043661847,3.252861171,-5.499835362,-0.352342338,-2.169459174,-0.804370203,-0.45011694,1.919124715,-1.308867664,-2.667055814,2.139760556,0.746079619,0.522322922,-1.625405672,1.598374728,-0.665437455,-0.132347937,-3.082164802,-0.696625671,0.624304261,1.132265255,-1.156579689,1.057534422,-1.209337907,-0.451707841,0.062163133,-0.881075231,-0.230951258,1.065608768
176,propylene glycol,CC(O)CO,0.021734028,0.0860673,-2.733135024,2.752623095,-0.903456104,-1.19287937,-0.740768188,-1.912301428,-0.426407088,2.041074843,0.537162158,-1.696099599,0.595051925,-0.880235446,-2.096734691,0.877367146,0.282722209,-1.046745285,-0.59670972,0.315503063,0.296134216,-0.337038425,-0.672355836,-0.722555648,-0.405763662,0.041870717,0.077022308,0.019977394,-0.423428214,0.4228572
86,dimethylamine,CNC,0.01187143,0.047427702,-1.308161554,1.742813081,-0.975617064,-0.440112801,1.170281641,1.037860575,0.105215798,-1.95397639,-0.310996795,-0.418329443,-0.072172361,-1.479148901,1.481282573,-0.776396357,0.4074135,-2.4677196,1.464424317,1.212435015,-0.680047704,-0.657649251,-0.025594753,0.017167644,-0.654612618,0.866699203,-1.33755987,-0.027616217,-0.534236511,1.186802882
22,acetyl chloride,CC(Cl)=O,0.031620738,0.14297308,-3.687070392,0.21454769,0.735221311,0.467067157,-0.045397686,0.507012799,-0.629730094,-1.311938093,0.523260071,-0.227117014,-0.310416248,-0.020247245,0.379021075,-1.196978471,-1.361634915,-1.425816014,0.30898163,1.437466395,-0.704352187,-0.415637814,-0.020091913,0.214883909,0.010813042,0.121165848,0.080467298,0.465503705,-0.285880716,1.343905749
165,phosphorous chloride,ClP(Cl)Cl,0.02714003,0.083976088,-3.099756943,-2.365240792,5.183085814,1.291348437,0.402484335,-1.971403744,-2.29611148,-0.154258605,0.814947804,0.509025485,0.394630638,-0.858259531,-1.246282364,-2.063742388,-0.109159968,0.327257979,-0.204987797,-0.622278973,1.245696866,-0.210029205,1.550112954,0.535055062,-0.004812139,1.305140737,-1.112174584,0.214553151,0.890269751,-0.510652215
76,diethanolamine,OCCNCCO,0.011148308,0.052841203,0.24952051,4.661194797,-1.54128181,-2.557314838,1.423246415,-3.640184186,0.61661103,1.589098252,0.451055656,-2.781120837,-0.308821035,-2.774055991,-0.845970301,0.731329319,2.012126572,-0.718675408,1.505218497,0.395129264,2.19075429,-0.595278851,0.073891924,-0.306138647,0.984603252,-2.077935086,0.159049182,0.388271813,-0.684077714,-0.680312151
173,propionic acid,CCC(O)=O,0.008889695,0.039171452,-2.354106916,2.581590668,-0.357648662,0.12134796,-1.401271773,0.500155237,-0.784283524,-0.391945669,-0.267091517,1.972780947,0.111683873,-0.005241523,-0.121055396,-0.697835964,-0.594206025,-0.4451011,0.163752956,0.325885733,-0.322512838,-1.450813889,-0.706159458,-0.363534804,-0.094796378,-0.283010558,-0.399876815,-0.341548422,0.352780995,-0.042269592
27,adipic acid,OC(=O)CCCCC(O)=O,0.024604064,0.024604064,3.785609358,5.790426461,0.348613704,-1.48964909,-1.889657019,0.355752549,-0.570706263,-0.701459853,-1.003526727,3.131107269,0.678729284,0.306734353,-0.264589574,-1.560020461,-0.795698945,0.07609739,0.393056701,0.212345711,-0.299500141,-1.606960943,-1.001261603,-0.29949513,0.857468192,-0.977299214,-0.039100116,-0.301251944,0.754504861,-0.304223148
217,triethanolamine,OCCN(CCO)CCO,0.010917699,0.053633774,3.710952463,6.235278231,-1.204638981,-3.352450484,1.058545625,-3.535141414,-0.718942915,2.287046659,-0.150918501,-3.82529934,-0.03462092,-3.250322078,-1.717389469,1.379328089,2.961028512,-0.78855982,1.467018121,0.603761579,0.556716504,0.552341975,-1.183795716,0.427568726,-0.094193486,-0.161960747,-1.666416241,0.154048122,-1.439038755,0.958194769
132,maleic anhydride,O=C1OC(=O)C=C1,0.010272623,0.058088639,-0.513452051,2.65669873,-0.314936591,-0.245614359,0.373792253,5.276256442,-1.512185103,-2.353253806,3.104786556,-1.139798254,-1.300534009,1.805727458,2.553548806,0.355639396,-1.517503327,-0.501558587,-3.211698032,-0.876765158,1.121290668,0.3932419,-0.378625113,-0.718824586,3.005796138,0.458893351,1.367003368,0.541095795,-0.981427822,0.604744535
147,N-methyl-2-pyrrolidone,CN1CCCC1=O,0.041068045,0.16587917,0.038407716,0.472470304,-0.560134566,-2.817601308,4.064166562,3.607362712,-0.018633132,0.667538006,0.32028277,-0.039425516,-0.525772059,-0.359396796,1.545520728,-0.146054752,0.274139181,-2.219462202,1.02012572,1.099245117,-2.575027581,-0.910858959,0.266946446,0.114972588,1.53021375,0.56354238,-0.962984075,-1.084609633,-0.469914335,0.074973907
0,"1,1-difluoroethane",CC(F)F,0.030916965,0.10571136,-4.507220221,0.29360429,1.660033377,1.712958808,-0.887039581,1.735924393,2.279110608,0.126326313,0.587867265,-0.679111242,0.130422089,-0.389303952,0.782048166,-0.034659336,-0.313660578,-1.42890121,-0.079312248,-0.38241074,-1.031508901,-1.255595747,-1.77153819,-1.383336619,1.541922035,0.014137986,0.387106073,-0.068807843,2.124524457,0.207920097
148,"N,N-dimethylformamide",CN(C)C=O,0.015241727,0.055874301,-2.487695973,1.788913656,-0.914635737,-0.053687408,1.299813218,0.82205658,-0.073557436,-1.864457881,0.263733758,-0.179022102,-0.66387371,-1.284202224,1.53195431,-0.231037525,0.446727342,-2.1496271,1.622493223,0.847252279,-0.858183922,-0.225577035,0.056690469,-0.063838182,-0.061923652,0.888253027,-1.18539869,-0.520630134,-0.358041311,0.694029486
153,o-chlorotoluene,Cc1ccccc1Cl,0.012733335,0.053505616,0.531201563,-4.882755025,0.075821128,0.730652415,-0.130073657,-0.341686472,-0.692610984,-1.196194324,-1.161560154,1.579064335,-0.032149434,-1.328361607,-0.842623614,2.190660265,1.170455062,0.727545209,-2.235853787,-0.58147582,-0.737191363,-0.259168899,0.296921417,2.22600748,1.492349202,-0.588692164,0.20706283,-1.639074405,-0.146260977,0.833507817
178,pyrazole,[nH]1cccn1,0.083048922,0.34149506,-2.772656484,-0.458331229,-2.089294232,1.617280179,3.268265907,-1.220674192,1.093951986,-0.597807331,-1.145918036,2.184203925,-2.50601349,-3.335599971,2.357421432,1.33394237,-0.627063672,-2.408011926,0.310342675,0.498992949,2.917121455,1.138444027,0.686284868,0.315992748,-0.127918452,-0.130881208,0.392592427,0.548153151,0.003696148,-0.209614979
35,ascorbic acid,OCC(O)C1OC(=C(O)C1=O)O,0.16897627,0.14949989,5.612752404,7.748449276,-1.497614979,-1.498768129,0.846731338,-0.189907617,-1.322598405,4.66856651,3.969149698,-3.824375529,1.087954394,-2.578286252,-4.050030034,1.963011318,-3.357288628,-1.828517936,-1.843940077,-1.633902544,0.805489583,1.689534538,-1.138244894,1.118013286,0.651375973,3.806449893,1.435001893,-0.009583611,-0.608942406,-0.557965104
172,propanal,CCC=O,0.01614299,0.01614299,-3.725078776,0.267075131,-0.710512649,-0.815331757,-1.292826843,0.895039171,-0.488371561,-1.383947015,0.916182608,-0.62415281,0.170265173,-0.688593731,-0.039758701,-0.368595205,-1.703091784,-0.957327874,0.961265945,-0.688922001,-2.162936955,0.096524543,2.373056156,0.418786544,0.134085718,-1.500717805,-0.248991387,-0.311761623,0.636297575,-0.506250885
75,dichloropropene,CC=C(Cl)Cl,0.016512254,0.071605586,-3.041560934,-2.507684887,2.371418027,0.521161434,-0.05711326,-0.961586907,-1.53435828,-0.639157737,0.26696544,0.409448636,0.758582582,-1.399705509,-0.532380085,-2.013114763,0.528860342,0.28429417,-0.106655676,-0.609657227,-0.089268116,1.689396438,-1.093416717,-0.221849046,-0.031886589,-0.765815167,-1.865537713,0.641736957,0.887064929,-0.105589216
166,phosphorus pentachloride,Cl[P](Cl)(Cl)(Cl)Cl,0.02338932,0.066264172,-0.093584348,-1.505096277,10.555219,3.080340843,0.51447449,-2.118031223,-2.458707465,0.273685202,0.902848272,1.673594388,1.238424981,-0.287559665,-0.498413449,-4.605228608,1.203258362,0.899205967,-4.230840176,1.079781706,4.172009078,-0.582168258,3.364211119,2.548462792,1.980015469,3.55036274,-3.460742241,0.936524161,-2.601813774,-3.278288765
181,tetrachloroethylene,ClC(Cl)=C(Cl)Cl,0.00560625,0.068270691,-1.622725424,-2.742007368,5.009297889,1.682286107,0.210163615,-2.346413832,-3.070035689,-0.167580916,0.358683374,0.112231393,1.33399894,-1.561386508,-0.699475824,-3.0981868,0.75261158,0.556785318,-1.38678815,-0.667039741,0.186445939,-0.061428965,1.352326093,0.128814792,-0.641166273,0.452823397,-0.525885754,-0.618997796,0.124776479,0.681201363
19,acetoacetic acid,CC(=O)CC(O)=O,0.034315585,0.16266721,0.232875868,3.831880104,-0.606910062,0.07911683,-2.088018642,1.493999891,-1.394226938,-0.684332775,0.456024401,1.227704702,0.981174206,0.074370426,-0.215844025,-1.5331864,-2.926822186,-0.707929453,0.743883833,-0.356408612,-0.634057893,-1.124232121,-0.31892788,1.021116185,-0.847388579,1.150940771,0.982175159,-1.089169049,-0.689253906,-0.472374246
209,acetonitrile,CC#N,0.017555497,0.074230888,-5.107704683,-0.643582153,-0.859641875,1.536212428,-0.034279534,-0.724741341,-2.582830521,0.143412939,-2.792810609,-0.664934487,3.328110025,0.747156763,3.399749245,3.245172577,-1.229448206,0.296685506,1.944838575,0.669858562,0.096363485,-0.164205139,-0.443213244,-1.384289629,0.247735076,0.73405139,-0.36415755,0.919314665,-0.276170717,-0.263988536
100,ethyl tert-butyl ether,CCOC(C)(C)C,0.14271403,0.2546382,-0.946414964,-0.785012754,0.604541427,-3.067815198,-0.883584656,-0.901962674,1.241159882,-0.627448236,-1.146596401,-0.302603717,-0.277748142,0.580107928,0.441419057,0.100820314,-0.240174826,-0.534996329,-1.050634745,0.879939686,-1.196336503,-0.818540527,-0.378881728,0.247746378,-0.500028825,0.235268996,-0.309038648,-0.098577703,0.014819456,-0.152634947
123,hydroxylamine,NO,0.11746024,0.316028,-6.105769519,1.312403402,-1.779890482,1.516788184,1.536727923,-1.670324426,0.671858097,0.29292456,2.48071324,1.080160655,0.197429173,1.877395373,-0.379794108,0.689870856,-0.655136653,1.583660385,1.085074923,-0.601196423,1.628464228,0.789140895,-0.551595786,-0.29798193,1.338938313,-0.696314717,0.942081363,-0.493136046,0.726980142,-1.085540294
53,captan,ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,0.021206949,0.079910727,11.16994087,-1.429038714,5.794995392,-2.006439028,8.521394281,5.081485079,-1.962800413,-0.363835698,2.058733842,-1.322573131,4.568771619,-1.320055852,-0.390562515,-4.825219506,0.89582519,-0.606016846,0.451041218,2.008586218,-3.399051978,6.934897993,-4.465873279,-0.184506668,2.018673892,-1.216202308,-2.271332323,0.502502535,1.274712067,-1.64577121
23,acetylene,C#C,0.02291506,0.11618009,-6.630226978,-1.839463378,-0.751614011,1.283467925,-0.572906484,-0.88552746,-1.292449823,0.388883038,-0.873684867,1.214395568,-0.062856988,1.229079192,1.320923863,1.299639158,0.282148521,-0.248022083,1.464557078,-1.433796109,0.026902336,1.730780736,-0.469533155,-0.163599445,0.821599454,0.744436692,2.215835966,1.156812186,-1.029949001,-0.315044678
73,decabromodiphenyl ether,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,0.062827351,0.24613754,26.19005554,-13.91506652,19.23958115,-2.222503151,3.891449576,-10.17963999,-1.671386364,-0.476341626,5.666825622,-1.790225842,-8.235522389,8.16649993,-0.784593244,5.822015792,-4.107657027,-3.716271571,2.040884091,-0.631474082,-0.893636084,-1.144460448,-1.440959797,-1.640624613,-0.131952753,-0.364553673,0.084445582,1.19405582,-0.035393571,0.523844382
158,p-nitrotoluene,Cc1ccc(cc1)[N+]([O-])=O,0.012332648,0.065460171,3.637106118,-1.906613744,-3.029557201,3.985674927,0.578885637,1.953763067,-0.952870355,-2.126253947,-5.227737125,-1.476363832,-0.983338992,1.863811779,-3.399354892,1.030830415,1.274106726,-1.331535057,-0.133011606,0.412349602,0.021448472,0.32365542,-0.312587527,1.361564507,1.158795828,0.488615321,0.375446915,-0.926293774,0.833181853,0.581366251
78,diethylene glycol,OCCOCCO,0.008637233,0.041825097,-0.085424839,4.52822643,-0.731921847,-3.080930884,-0.625454678,-2.653714821,-0.794388613,1.606068447,0.525970694,-4.010902863,-0.472982596,-1.109700552,-1.009375011,0.939700572,2.063688529,0.841159844,0.460338583,-0.473319246,0.653025035,0.379113861,-0.834689662,-0.601223769,0.483936709,-0.864737832,-0.590739989,-0.305931118,-0.20674787,0.759922991
108,ethylene glycol,OCCO,0.007926783,0.036999819,-3.641172472,3.038947067,-1.238330216,-0.919239711,-0.404627829,-2.206934298,-1.074182968,2.052348121,0.832993095,-1.96157659,0.031180364,-1.182642847,-1.787077373,0.936526685,0.891182444,-0.641403756,0.178221608,0.144158629,0.066541464,-0.132102217,-0.834023475,-0.551003555,-0.465829503,-0.2789573,-0.074775838,-0.393808949,-0.775270232,0.438699495
174,propyl amine,CCCN,0.031055852,0.1314777,-4.113889022,0.086605423,-0.760062479,-1.021153386,0.854168123,-2.247253803,1.675493008,0.05804673,0.769827027,0.567403762,0.282265341,1.498633173,-0.649854387,-0.019446258,-0.412945857,1.307150105,0.722737977,0.480327639,-0.656287235,-0.38824402,-0.122761435,0.13934957,0.323900899,-0.341484768,0.203153293,-1.226167347,0.149188651,-0.546037861
54,carbon disulfide ,S=C=S,0.004969812,0.016421099,-4.975791524,-1.539742923,1.692235187,0.547209687,0.39937854,-1.420164704,-1.034956653,-0.576395407,0.280676093,0.803238308,-1.247067522,0.487401046,0.178676271,0.267141257,-0.126139478,-0.820698291,0.061283431,-0.126992828,0.594882397,0.320580148,0.488911438,-0.020353842,-0.125400004,0.296762016,-0.340992796,0.167951627,-0.419140829,0.509254085
28,alkylbenzene sulfonate,O[S](=O)(=O)c1ccccc1,0.012019711,0.033655727,3.428364874,-0.434568179,-0.032946269,2.789524811,-1.315273789,2.321450433,0.370452156,0.043210026,0.285956216,-0.173835831,-1.180732761,-0.539648325,-1.770802962,1.161908925,-0.550304383,0.785001415,-0.370440778,2.521829553,1.580917798,0.109080243,-0.272939988,-1.907681263,-1.437730752,-1.115623947,-0.435940045,-0.971514298,0.077326507,1.883775589
10,2-pyridinol,Oc1ccccn1,0.4817093,1.9432057,-0.045265364,-0.883717748,-2.942152477,1.914903637,0.862786003,-0.683160764,-0.154766636,0.580928008,0.760083118,0.676481848,-0.870522051,-1.211055395,2.742611172,-0.272108669,-0.377287434,-2.493013921,0.017028494,0.039304937,1.380358774,0.624036768,-0.739224045,-0.856924517,0.91536351,1.194789648,-0.316177828,0.589757222,1.649590505,1.849058385
196,vinyl acetate,CC(=O)OC=C,0.011544709,0.046318131,-1.63961857,1.37976222,-0.39931249,-0.516124397,-1.361247011,1.638224448,-0.710035499,-2.199086996,0.529434788,-1.130843971,-1.03613621,0.929436661,1.270241954,-0.239460789,-0.939934319,-0.148541428,-1.026001692,0.173991456,0.125352912,0.363067569,0.324704986,-0.343382321,0.553595159,-0.019341517,0.120175818,-0.196106942,-1.512951329,0.732593245
46,boron trifluoride,FB(F)F,0.041857554,0.041857554,-4.597610177,1.061456499,2.422973693,3.583702252,-1.646252377,2.174823261,1.609712789,0.736703123,-0.03415362,0.129968965,-0.899123853,0.299483648,-0.01039985,0.384732625,-0.276390547,-0.227039793,1.402798919,0.225243924,0.607629409,0.08057868,0.458700181,0.000776901,0.422581984,-0.557403367,-0.398797999,-0.585864365,-0.948452038,-0.402161014
26,acrylic acid,OC(=O)C=C,0.004868275,0.03895874,-2.561255368,2.417393531,-0.316481487,1.208244137,-1.178309433,0.77703665,-0.995981647,-0.764195394,0.809514609,2.347771376,-0.459346488,0.353910471,0.220014892,0.451546503,-0.260351117,-0.560037207,-0.717648881,-0.796527037,0.137702441,-1.115977704,-0.660379597,-1.042675358,1.433866693,-0.179332834,-0.487091334,0.106669385,1.061923421,0.363507399
128,isopropanol,CC(C)O,0.007026195,0.03867713,-3.98787844,0.417977277,-0.88606446,-0.827156336,-0.767125643,-0.841301918,0.100472733,0.628510112,0.303818296,-0.634318194,0.437468602,-0.801594194,-1.055916699,0.041583581,-0.356612029,-0.874497873,0.244532565,1.393185122,-0.041695156,-1.486590067,-1.004346384,0.439700282,-0.268282849,-0.143576699,-0.30218276,0.804107788,0.190513366,0.670450848
119,hydrazine,NN,0.086775049,0.27425917,-6.212728039,1.296653125,-2.257113737,1.82146627,2.911555404,-2.892859773,1.729381196,0.243371967,2.461623731,1.878085755,0.219923934,3.29764624,-1.211976004,0.310169735,-1.387356054,3.48528136,2.463416565,0.441573771,1.397676002,2.081827581,0.107118548,0.984142665,0.314614166,-1.106386236,1.062593181,-1.478784486,-0.976835312,-1.444083384
98,ethyl acetate,CCOC(C)=O,0.013417298,0.054334677,-1.462435963,1.763769936,-0.239028629,-1.462825902,-1.238675566,1.554065051,-0.392646394,-2.002996647,0.292541301,-1.709217415,-0.71384833,0.61893392,1.388951786,-0.744435582,-0.697985455,-0.041592462,-0.443792794,0.605108327,0.286818162,-0.184149507,-0.276286281,0.045912806,0.085990086,-0.138956107,0.185898377,-0.040843171,-0.992877098,0.200351021
115,glycerin,OCC(O)CO,0.39060654,1.1494732,-1.363834151,4.776906118,-1.394974771,-1.123533415,-0.786086683,-2.983212359,-1.073804329,3.407383779,1.345584696,-2.83353673,0.885579345,-1.758003227,-2.868868138,1.371109307,0.743443362,-0.970918533,-0.843584572,0.006690476,0.160918342,0.173750705,-0.514357814,-0.480199268,-0.480519617,0.04544284,0.153369607,-0.170200126,-0.892599121,0.391124885
109,ethylene oxide,C1CO1,0.005934028,0.04065456,-5.268514085,-0.116263312,-0.263599416,-2.521985409,2.334328681,2.132314022,-1.250157198,2.673620702,0.154529631,-0.199530542,-1.876360439,1.556156402,0.943181154,0.881359888,0.86150656,0.291610802,-0.363990997,-0.579579666,-1.17986344,-0.42347156,0.190505153,0.079184214,0.310370592,-0.216501653,-0.218607785,-0.900188197,0.058661266,-0.195375584
99,ethyl benzene,CCc1ccccc1,0.01061743,0.044508972,0.036655101,-4.57690046,-0.883305497,-0.832500545,-0.677350804,-0.176746827,0.924827329,-1.191818634,-1.195496725,2.321255789,-0.911238085,-0.014890766,-1.147880671,2.16451702,0.146718005,0.41932944,-2.101233771,-1.259228465,0.486434142,1.062986779,-0.360483674,0.923359996,-0.172446574,-0.47542287,0.057647552,-1.205598606,-0.300990935,1.248933244
